id,EMP_NO,new_td,new_vtd,new_loan,new_edl,update_date,status,status_update_date
7,122863,1000,0,0,0,"2018-10-24 14:29:30",0,
8,122863,2000,0,0,0,"2018-10-24 14:30:41",0,
